Date,NFLX
30-09-2020,496.949997
01-10-2020,516.574997
02-10-2020,514.5350035
05-10-2020,511.345001
06-10-2020,512.9900055
07-10-2020,526.1549985
08-10-2020,529.575012
09-10-2020,539.6400145
12-10-2020,545.024994
13-10-2020,547.425018
14-10-2020,556.744995
15-10-2020,543.1599735
16-10-2020,542.180023
19-10-2020,533.5899965
20-10-2020,528.0200195
21-10-2020,497.550003
22-10-2020,488.5700075
23-10-2020,485.705002
26-10-2020,487.8600005
27-10-2020,486.7099915
28-10-2020,488.6399995
29-10-2020,496.62001
30-10-2020,489.044998
02-11-2020,480.649994
03-11-2020,487.035004
04-11-2020,500.855011
05-11-2020,511.089996
06-11-2020,508.860016
09-11-2020,481.555008
10-11-2020,474.005005
11-11-2020,484.9700015
12-11-2020,488.474991
13-11-2020,483.369995
16-11-2020,481.4399875
17-11-2020,483.180008
18-11-2020,483.164993
19-11-2020,484.1349945
20-11-2020,488.1650085
23-11-2020,483.494995
24-11-2020,479.9700015
25-11-2020,482.9100035
27-11-2020,487.550003
30-11-2020,486.9099885
01-12-2020,500.725006
02-12-2020,500.149994
03-12-2020,502.404999
04-12-2020,499.0700075
07-12-2020,507.7649995
08-12-2020,513.519989
09-12-2020,502.8950045
10-12-2020,498.3399965
11-12-2020,499.095001
14-12-2020,512.669983
15-12-2020,519.130005
16-12-2020,522.5350035
17-12-2020,530.964996
18-12-2020,531.1950075
21-12-2020,526.8850095
22-12-2020,525.450012
23-12-2020,520.2600095
24-12-2020,515.779999
28-12-2020,515.394989
29-12-2020,526.014984
30-12-2020,528.475006
31-12-2020,534.325012
04-01-2021,527.9450075
05-01-2021,521.335022
06-01-2021,506.299988
07-01-2021,511.4300075
08-01-2021,508.875
11-01-2021,504.3400115
12-01-2021,493.3800045
13-01-2021,502.679993
14-01-2021,507.0399935
15-01-2021,500.7100065
19-01-2021,501.3950045
20-01-2021,575.0749815
21-01-2021,579.575012
22-01-2021,574.169983
25-01-2021,559.200012
26-01-2021,561.024994
27-01-2021,536.0749815
28-01-2021,541.945007
29-01-2021,535.5899965
01-02-2021,538.394989
02-02-2021,547.2049865
03-02-2021,544.359985
04-02-2021,548.494995
05-02-2021,549.959991
08-02-2021,549.350006
09-02-2021,554.5
10-02-2021,560.055023
11-02-2021,560.074982
12-02-2021,556.049988
16-02-2021,558.1799925
17-02-2021,549.1400145
18-02-2021,544.11499
19-02-2021,543.899994
22-02-2021,536.289978
23-02-2021,533.4100035
24-02-2021,547.9599915
25-02-2021,546.11499
26-02-2021,545.5450135
01-03-2021,547.0700075
02-03-2021,551.505005
03-03-2021,532.910004
04-03-2021,519.5899965
05-03-2021,508.2750095
08-03-2021,505.8450165
09-03-2021,508.464996
10-03-2021,511.6099855
11-03-2021,520.4749905
12-03-2021,516.550003
15-03-2021,514.3799895
16-03-2021,528.3150025
17-03-2021,521.3349915
18-03-2021,510.875015
19-03-2021,507.4100035
22-03-2021,519.2200015
23-03-2021,536.2600095
24-03-2021,527.2099915
25-03-2021,507.7650145
26-03-2021,502.699997
29-03-2021,511.199997
30-03-2021,510.6599885
31-03-2021,521.7850035
01-04-2021,533.7650145
05-04-2021,536.039978
06-04-2021,548.7349855
07-04-2021,545.5450135
08-04-2021,552.2350155
09-04-2021,552.0050045
12-04-2021,553.7799985
13-04-2021,555.024994
14-04-2021,546.700012
15-04-2021,548.0749815
16-04-2021,545.744995
19-04-2021,550.9850155
20-04-2021,554.929993
21-04-2021,509.530014
22-04-2021,507.255005
23-04-2021,505.200012
26-04-2021,506.7400055
27-04-2021,508.7849885
28-04-2021,505.869995
29-04-2021,504.1450045
30-04-2021,509.774994
03-05-2021,512.075012
04-05-2021,504.210007
05-05-2021,501.205002
06-05-2021,495.4599915
07-05-2021,504.8349915
10-05-2021,494.6299895
11-05-2021,488.3099975
12-05-2021,488.1200105
13-05-2021,486.744995
14-05-2021,490.720001
17-05-2021,487.7599945
18-05-2021,489.8350065
19-05-2021,483.555008
20-05-2021,495.8400115
21-05-2021,501.330002
24-05-2021,501.880005
25-05-2021,502.794998
26-05-2021,502.3200075
27-05-2021,501.8200075
28-05-2021,507.1450045
01-06-2021,501.574997
02-06-2021,499.520004
03-06-2021,491.955002
04-06-2021,496.4049985
07-06-2021,493.625
08-06-2021,494.095001
09-06-2021,490.369995
10-06-2021,486.175003
11-06-2021,489.5950015
14-06-2021,495.205002
15-06-2021,495.8150025
16-06-2021,491.369995
17-06-2021,495.974991
18-06-2021,499.86499
21-06-2021,497.1649935
22-06-2021,504.674988
23-06-2021,512.4150085
24-06-2021,517.680023
25-06-2021,529.029999
28-06-2021,529.25
29-06-2021,532.350006
30-06-2021,530.600006
01-07-2021,531.3799745
02-07-2021,533.9649965
06-07-2021,537.9299925
07-07-2021,538.149994
08-07-2021,532.2950135
09-07-2021,533.4200135
12-07-2021,536.7850035
13-07-2021,540.5450135
14-07-2021,547.554993
15-07-2021,547.869995
16-07-2021,535.554993
